fap_subtype,rank,gene,score,logfoldchange,pvals_adj
adipogenic FAP,99,ADH5,26.285707,,4.7831642204575415e-151
adipogenic FAP,100,RBMS3,25.961441,,2.2989283028801266e-147
homeostatic FAP,1,MT-ATP6,83.30623,,0.0
homeostatic FAP,2,MT-CO2,81.922485,,0.0
homeostatic FAP,3,MT-CO1,81.55954,,0.0
homeostatic FAP,4,MT-ND3,80.63632,,0.0
homeostatic FAP,5,MT-CYB,79.39532,,0.0
homeostatic FAP,6,MT-ND4,75.04407,,0.0
homeostatic FAP,7,MT-ND1,74.01907,,0.0
homeostatic FAP,8,CFD,73.04746,,0.0
homeostatic FAP,9,DCN,71.71013,,0.0
homeostatic FAP,10,GSN,71.43315,,0.0
homeostatic FAP,11,CD81,65.05421,,0.0
homeostatic FAP,12,MARCKS,63.76919,,0.0
homeostatic FAP,13,JUN,62.611443,,0.0
homeostatic FAP,14,FOS,59.686733,,0.0
homeostatic FAP,15,LGALS1,58.87672,,0.0
homeostatic FAP,16,PLAC9,57.28824,,0.0
homeostatic FAP,17,S100A4,55.975945,,0.0
homeostatic FAP,18,COL1A2,55.059704,,0.0
homeostatic FAP,19,COL6A2,54.12926,,0.0
homeostatic FAP,20,CST3,52.739307,,0.0
homeostatic FAP,21,MGP,52.377453,,0.0
homeostatic FAP,22,FBLN2,52.025524,,0.0
homeostatic FAP,23,TIMP3,51.095284,,0.0
homeostatic FAP,24,TNXB,50.76245,,0.0
homeostatic FAP,25,AHNAK,50.410152,,0.0
homeostatic FAP,26,JUND,47.701065,,0.0
homeostatic FAP,27,FBN1,47.212357,,0.0
homeostatic FAP,28,IGFBP6,47.12348,,0.0
homeostatic FAP,29,COL15A1,45.2654,,0.0
homeostatic FAP,30,GAS7,44.572758,,0.0
homeostatic FAP,31,LUM,44.009903,,0.0
homeostatic FAP,32,CALM1,43.755257,,0.0
homeostatic FAP,33,ACKR3,43.738503,,0.0
homeostatic FAP,34,F10,43.736298,,0.0
homeostatic FAP,35,S100A10,43.444794,,0.0
homeostatic FAP,36,FNDC5,43.1258,,0.0
homeostatic FAP,37,ITM2A,42.993225,,0.0
homeostatic FAP,38,CCDC80,42.54054,,0.0
homeostatic FAP,39,MT-ATP8,41.560467,,0.0
homeostatic FAP,40,COL6A1,40.964386,,0.0
homeostatic FAP,41,PTGDS,40.88334,,0.0
homeostatic FAP,42,NFIB,40.867554,,0.0
homeostatic FAP,43,COL3A1,40.368813,,0.0
homeostatic FAP,44,SMOC2,39.79318,,0.0
homeostatic FAP,45,SPTBN1,39.45761,,0.0
homeostatic FAP,46,INTS6,39.342434,,0.0
homeostatic FAP,47,SSPN,39.25714,,0.0
homeostatic FAP,48,LAMA4,39.023624,,0.0
homeostatic FAP,49,FOSB,39.008797,,0.0
