sender,receiver,ligand,receptor,pathway,ligand_mean_log_expr,receptor_mean_log_expr,interaction_score
inflammatory FAP,satellite_cell,TNF,TNFRSF1A,TNF,0.01144806283965319,1.5008126089791556,0.017181397058137222
endothelial,b_cell,COL1A1,ITGA1,ECM_integrin,0.5593944596856071,0.03069199497972761,0.017168931948358092
ECM-remodeling FAP,ECM-remodeling FAP,PDGFB,PDGFRB,PDGF,0.004737433793487038,3.6235286932111044,0.017166227282888212
schwann_cell,inflammatory FAP,CXCL12,CXCR4,CXCL12,0.237134550449131,0.07234803511119856,0.017156218781972016
b_cell,t_cell,COL1A1,ITGA1,ECM_integrin,0.10585858383917068,0.16117686830010314,0.01706195502588144
t_cell,macrophage_monocyte,COL1A1,ITGA1,ECM_integrin,0.11367776805245931,0.14999251157086438,0.01705081393995854
schwann_cell,inflammatory FAP,WNT5A,FZD4,WNT,0.020446530464991956,0.8330476977480459,0.01703293513079683
t_cell,t_cell,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.36748406365985364,0.017025890597275703
ECM-remodeling FAP,macrophage_monocyte,PDGFA,PDGFRA,PDGF,0.3646809216853234,0.04658249091727837,0.016987745722111283
b_cell,satellite_cell,FN1,ITGA5,ECM_integrin,0.06194349060138232,0.2736609232921634,0.016951512829913733
macrophage_monocyte,homeostatic FAP,JAG1,NOTCH1,NOTCH,0.33224684850803393,0.05102059749133455,0.016951432725492807
homeostatic FAP,b_cell,WNT5A,FZD4,WNT,2.4045408374272883,0.007036277001241832,0.016919015392936405
inflammatory FAP,unassigned,CCL2,CCR2,CCL,2.7240224263471378,0.006158302157958443,0.016775353186500773
myonuclei_muscle_fiber,b_cell,PDGFB,PDGFRB,PDGF,0.11128408945066876,0.1500450471143682,0.016697626444705158
t_cell,myonuclei_muscle_fiber,FN1,ITGA5,ECM_integrin,0.089786800072965,0.18526119388187495,0.01663400977635071
myonuclei_muscle_fiber,endothelial,TNF,TNFRSF1A,TNF,0.009515472782029539,1.7456052715481678,0.016610259449583872
DA-FAP,t_cell,TNF,TNFRSF1A,TNF,0.024843115218009814,0.6682549804617375,0.01660153547461984
DA-FAP,adipocyte,SPP1,CD44,SPP1,0.015368449005934154,1.078995143418856,0.0165824818392833
unassigned,smooth_muscle_pericyte,IL6,IL6R,IL6,0.039198908728989144,0.4229797133495883,0.0165803431778045
b_cell,smooth_muscle_pericyte,SPP1,CD44,SPP1,0.006873362243351475,2.4020422887528947,0.016510106774447707
t_cell,DA-FAP,SPP1,CD44,SPP1,0.0037017289299512714,4.441305456163125,0.01644050889382947
t_cell,smooth_muscle_pericyte,CXCL12,CXCR4,CXCL12,0.04137666252763046,0.39692406930879404,0.016423393264883776
homeostatic FAP,macrophage_monocyte,SPP1,CD44,SPP1,0.003305744127084456,4.967461870217856,0.016421157903988647
t_cell,inflammatory FAP,SPP1,CD44,SPP1,0.0037017289299512714,4.435285456815737,0.01641822448808695
macrophage_monocyte,adipocyte,PDGFA,PDGFRA,PDGF,0.06514546869188097,0.2518612025716909,0.016407616086833582
homeostatic FAP,t_cell,SPP1,CD44,SPP1,0.003305744127084456,4.957426809703607,0.01638798456162873
schwann_cell,smooth_muscle_pericyte,WNT5A,FZD4,WNT,0.020446530464991956,0.8000048185452701,0.016357322894526224
adipogenic FAP,schwann_cell,PDGFA,PDGFRA,PDGF,0.13369384178440924,0.12218767932812631,0.01633574026809865
t_cell,b_cell,JAG1,NOTCH1,NOTCH,0.04633096311092012,0.3512957475548897,0.016275870320988702
adipocyte,adipogenic FAP,CCL2,CCR2,CCL,3.3379445531361287,0.004856273839668318,0.016209972811658334
endothelial,adipogenic FAP,CCL2,CCR2,CCL,3.3301823187955066,0.004856273839668318,0.0161722772760926
schwann_cell,satellite_cell,PDGFB,PDGFRB,PDGF,0.09539084527738038,0.16896125543218754,0.016117356974803747
myonuclei_muscle_fiber,t_cell,PDGFB,PDGFRB,PDGF,0.11128408945066876,0.14422613208621282,0.016050073784206073
macrophage_monocyte,endothelial,PDGFA,PDGFRA,PDGF,0.06514546869188097,0.24524814268320855,0.01597680520091092
myonuclei_muscle_fiber,macrophage_monocyte,PDGFB,PDGFRB,PDGF,0.11128408945066876,0.14320233862836718,0.01593614186146417
b_cell,macrophage_monocyte,COL1A1,ITGA1,ECM_integrin,0.10585858383917068,0.14999251157086438,0.015877994861372126
inflammatory FAP,schwann_cell,TNF,TNFRSF1A,TNF,0.01144806283965319,1.3850017017767406,0.015855586514966734
satellite_cell,adipogenic FAP,CCL2,CCR2,CCL,3.198612315159484,0.004856273839668318,0.015533337309349915
